sample_id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,output1,output2,output3,output4,output5,output6,output7,output8,output9,output10,result1,result2,result3,result4,result5,result6,result7,result8,result9,result10
0,6.61584491,-49.34579666,8.87911841,25.21452928,-23.60352226,-29.89832645,6.22208172,19.24401634,43.50882642,-31.08103266,-5.10442489,11.75793399,-13.75527122,19.96952149,8.06300281,-23.10868199,-47.99688747,-42.65566234,27.96987991,20.17904129,1.13899807,1.89243523,1.80568495,0.45577567,0.43966601,1.12984124,1.77837843,0.98776997,91.46373962,106.63407558,5.669999999999922,4.579999999999945,3.319999999999972,3.2999999999999723,3.309999999999972,3.309999999999972,3.2999999999999723,3.319999999999972,4.579999999999945,5.669999999999922,5.329999999999922,4.239999999999945,2.919999999999972,2.9699999999999718,2.559999999999973,2.5699999999999728,2.9099999999999726,2.7099999999999724,4.189999999999945,5.329999999999922,88.91406836501334,89.62121363227155,95.42076692479681,88.99722075797239,99.82081554695256,99.79200671918149,94.91927691180578,99.51368343250597,94.18593832908093,89.16202627770174
1,6.6640339,-47.60208648,11.43548669,28.19037661,-23.80631887,-31.04532901,6.97969974,18.70329429,39.97548579,-16.11136435,-3.61138259,12.96216758,-15.90930462,18.42792097,9.82528664,-24.99813863,-45.61507429,-40.42400928,8.79884138,17.68579872,1.13899807,1.89243523,1.80568495,0.45577567,0.43966601,1.12984124,1.77837843,0.98776997,91.46373962,106.63407558,6.0599999999999135,4.669999999999943,3.3399999999999714,3.2999999999999723,3.309999999999972,3.309999999999972,3.2999999999999723,3.3399999999999714,4.669999999999943,6.0599999999999135,5.709999999999914,4.329999999999943,2.929999999999972,2.9699999999999718,2.609999999999973,2.5999999999999726,2.899999999999973,2.6299999999999724,4.2799999999999425,5.679999999999913,88.91241327839793,89.58555448481019,96.13823428884291,88.93618227719364,99.73922146331844,99.7424710702269,95.78366319483098,99.76020461074283,94.43663092397833,92.48111811011425
2,6.71222258,-45.85837821,13.99162315,31.16586749,-24.00908322,-32.1919402,7.7373177,18.16257226,36.44214515,-1.14169604,-2.11835002,14.16639984,-18.06314268,16.88650512,11.58729012,-26.88695054,-43.2332613,-38.19235635,-10.37219715,15.19255615,1.13899807,1.89243523,1.80568495,0.45577567,0.43966601,1.12984124,1.77837843,0.98776997,91.46373962,106.63407558,6.449999999999905,4.6999999999999424,3.3899999999999704,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.3899999999999704,4.6999999999999424,6.449999999999905,6.109999999999905,4.359999999999943,2.9599999999999707,2.9699999999999718,2.659999999999973,2.609999999999973,2.869999999999972,2.599999999999971,4.309999999999941,6.0199999999999045,88.91303376781673,89.49969539486891,96.91739811688703,88.91946071586133,99.60932619262654,99.73412868205348,96.79714621372267,99.84936626516797,93.98300752908794,95.88188787122756
3,6.76041092,-44.11467208,16.54746386,34.14076831,-24.21180775,-33.33792612,8.49493558,17.62185028,32.90880452,13.82797227,-0.62532803,15.37063063,-20.21673154,15.34539494,13.34894765,-28.77473246,-40.85144853,-35.96070356,-29.54323568,12.69931359,1.13899807,1.89243523,1.80568495,0.45577567,0.43966601,1.12984124,1.77837843,0.98776997,91.46373962,106.63407558,6.589999999999902,4.6499999999999435,3.4799999999999685,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.4799999999999685,4.6499999999999435,6.589999999999902,6.249999999999902,4.309999999999944,3.019999999999969,2.9699999999999718,2.7099999999999724,2.619999999999973,2.8499999999999726,2.599999999999969,4.279999999999943,6.099999999999902,88.91431303644113,89.11027790050191,97.88583237223291,88.91443835672001,99.43070449672403,99.7123747704182,97.5915457402225,99.90638018617247,92.9660860601897,97.87227896930092
4,6.80859889,-42.3709683,19.10291903,37.11458624,-24.41448238,-34.48282207,9.25255339,17.08112833,32.44529115,15.8714481,0.86768242,16.5748598,-22.36999554,13.80484574,15.11017151,-30.66071886,-38.46963603,-33.72905093,-32.05814537,12.35896664,1.13899807,1.89243523,1.80568495,0.45577567,0.43966601,1.12984124,1.77837843,0.98776997,91.46373962,106.63407558,6.609999999999902,4.6499999999999435,3.6699999999999644,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.6699999999999644,4.6499999999999435,6.609999999999902,6.259999999999902,4.309999999999944,3.139999999999964,2.9699999999999718,2.729999999999973,2.6599999999999726,2.8199999999999723,2.6499999999999653,4.289999999999943,6.059999999999903,88.91419861894244,89.06963747327784,98.79705521978194,88.91314151445219,99.2677054956549,99.61970496749191,98.17218304111923,99.94132042905952,91.99743330778335,98.7912826106921
5,6.85678644,-40.62726713,21.65785856,40.08607768,-24.6170933,-35.62555955,10.01017109,16.54040642,23.25524366,8.13725476,2.36068023,17.77908716,-24.52282505,12.26550174,16.87084167,-32.54314962,-36.08782383,-31.49739846,-28.61862995,14.81054213,1.13899807,1.89243523,1.80568495,0.45577567,0.43966601,1.12984124,1.77837843,0.98776997,91.46373962,106.63407558,6.6899999999999,4.80999999999994,3.8999999999999595,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.8999999999999595,4.80999999999994,6.6899999999999,6.3399999999999,4.46999999999994,3.319999999999959,2.9699999999999718,2.749999999999973,2.669999999999973,2.7799999999999727,2.769999999999959,4.44999999999994,6.099999999999899,88.91772771255368,88.98780127811244,99.277875959123,88.9128245981338,99.13765092351319,99.55259413953753,98.78746466560384,99.95543571371658,91.69207710495253,99.15776274146769
6,6.90497355,-38.88356888,24.21208656,43.05100645,-24.81962108,-36.76305228,10.76778868,15.99968455,14.06519617,0.40306142,3.85366418,18.98331251,-26.67505501,10.72955746,18.63078947,-34.41694072,-33.70601199,-29.26574617,-25.17911452,17.26211762,1.13899807,1.89243523,1.80568495,0.45577567,0.43966601,1.12984124,1.77837843,0.98776997,91.46373962,106.63407558,6.599999999999902,4.9799999999999365,3.9099999999999593,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.9099999999999593,4.9799999999999365,6.599999999999902,6.249999999999902,4.639999999999937,3.39999999999996,2.9699999999999718,2.7599999999999727,2.689999999999973,2.7499999999999725,2.839999999999959,4.619999999999935,6.019999999999902,88.92079089115515,89.08002962844593,98.49786402460894,88.91258328653177,99.01249670847419,99.45111315036286,99.12766993073558,99.94874678997135,91.13121242614348,99.068892806317
7,6.95316017,-37.13987389,26.76529394,45.9821486,-25.02203761,-37.88183699,11.52540613,15.45896274,4.87514867,-7.33113192,5.34663287,20.1875356,-28.82642498,9.21111591,20.3897704,-36.25991408,-31.32420059,-27.0340941,-21.7395991,19.71369312,1.13899807,1.89243523,1.80568495,0.45577567,0.43966601,1.12984124,1.77837843,0.98776997,91.46373962,106.63407558,6.399999999999906,5.169999999999932,3.6699999999999644,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.6699999999999644,5.169999999999932,6.399999999999906,6.059999999999906,4.829999999999933,3.2999999999999643,2.969999999999972,2.7699999999999725,2.7199999999999727,2.739999999999973,2.819999999999965,4.819999999999931,5.859999999999906,88.92268886190973,89.48605349990146,93.2042093966828,88.9124653258776,98.86595227161608,99.30894705765952,99.21529434807704,99.88604090449206,90.39975752198582,98.79750103321308
8,7.00134624,-35.39618258,29.31696338,46.08952392,-25.22430049,-38.43702476,12.28302342,14.91824098,-4.31489882,-15.06532526,6.83958473,21.39175616,-30.97649907,9.15549147,22.1474162,-37.17447457,-28.94238972,-24.80244225,-18.30008367,22.16526861,1.13899807,1.89243523,1.80568495,0.45577567,0.43966601,1.12984124,1.77837843,0.98776997,91.46373962,106.63407558,6.189999999999911,5.369999999999928,3.4899999999999682,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.4899999999999682,5.369999999999928,6.189999999999911,5.849999999999911,5.029999999999927,3.1599999999999677,2.969999999999972,2.7799999999999727,2.729999999999973,2.7399999999999727,2.7799999999999687,5.029999999999927,5.65999999999991,88.92173040917766,89.60327207225362,89.07763009113759,88.91227897966237,98.73938799329626,99.18825130575757,99.23427174842963,99.74256368639334,89.62313692850742,98.55582663561752
9,7.04953171,-33.65249541,31.86615984,44.54364624,-25.42634289,-37.55261767,13.04064049,14.37751928,-13.50494631,-16.02607051,8.33251794,22.59597385,-33.12448939,8.90354749,23.90314604,-33.76408887,-26.5605795,-22.57079067,-14.86056824,22.46980451,1.13899807,1.89243523,1.80568495,0.45577567,0.43966601,1.12984124,1.77837843,0.98776997,91.46373962,106.63407558,6.179999999999911,5.579999999999924,3.3899999999999704,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.3899999999999704,5.579999999999924,6.179999999999911,5.839999999999911,5.229999999999923,3.0599999999999703,2.969999999999972,2.7799999999999723,2.7299999999999724,2.7299999999999724,2.749999999999971,5.229999999999923,5.639999999999912,88.93902473023513,89.58343013784534,88.91478924345539,88.91179466678356,98.76137257208285,99.2382798015673,99.29603567598869,99.59004170346152,89.0773401878304,98.77229936367935
10,7.09771652,-31.90881297,34.41100802,42.99777159,-25.62805306,-36.66821219,13.79825731,13.83679766,-19.0530939,-14.9130634,9.82543042,23.80018828,-35.26881577,8.65160402,25.65598883,-30.35370941,-24.17877009,-20.33913938,-12.7840894,13.15529169,1.13899807,1.89243523,1.80568495,0.45577567,0.43966601,1.12984124,1.77837843,0.98776997,91.46373962,106.63407558,6.3399999999999075,5.679999999999922,3.3399999999999714,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.3399999999999714,5.679999999999922,6.3399999999999075,5.989999999999908,5.329999999999921,3.0099999999999714,2.979999999999972,2.7799999999999723,2.719999999999972,2.709999999999973,2.7399999999999722,5.339999999999922,5.759999999999907,88.93698435269597,89.71785088917413,88.912024507833,88.91243729637146,98.80219020565961,99.28151704753314,99.40500432884026,99.46893038278303,88.92059055715808,99.0507416673644
11,7.14590057,-30.16513591,36.94714178,41.45190018,-25.82922966,-35.783809,14.55587379,13.29607612,-14.44118556,-13.80005629,11.31831978,25.00439899,-37.40579927,8.39966107,27.4041949,-26.9433388,-21.79696172,-18.10748842,-5.15714804,3.84077887,1.13899807,1.89243523,1.80568495,0.45577567,0.43966601,1.12984124,1.77837843,0.98776997,91.46373962,106.63407558,6.3399999999999075,5.819999999999919,3.319999999999972,3.309999999999972,3.2999999999999723,3.2999999999999723,3.309999999999972,3.319999999999972,5.819999999999919,6.3399999999999075,5.999999999999908,5.479999999999918,2.989999999999972,2.9799999999999716,2.7799999999999723,2.7199999999999727,2.6899999999999724,2.7299999999999724,5.479999999999919,5.789999999999908,88.91612634951872,89.0965850877031,88.91360796790207,88.91360204178052,98.83855290654367,99.33104585739368,99.5073442403409,99.37787683488925,88.91469775563893,98.80294925924983
