sample_id,x1,x2,x3,x4,x5,x6,x7,x8,y1,y2,y3,y4,y5,y6,y7,y8,z1,z2,z3,z4,z5,z6,z7,z8,t1,t2,t3,t4,t5,t6,t7,t8,output1,output2,output3,output4,output5,output6,output7,output8,result1,result2,result3,result4,result5,result6,result7,result8
0,-12.55952114,-7.84120491,37.94479579,-19.68509261,29.37164216,-3.14036951,-42.76632115,19.13134597,43.27390007,31.07119939,-39.26989535,-32.60548644,-16.20757271,34.05277237,-8.72548669,35.89514088,1.16303851,1.91161121,0.45696166,1.56867715,1.88208463,1.4225813,90.03096806,91.51512163,5.839999999999918,5.28999999999993,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,5.28999999999993,5.839999999999918,5.499999999999917,4.919999999999929,2.8799999999999724,2.879999999999973,2.609999999999973,2.9699999999999718,4.94999999999993,5.439999999999918,89.28426380855907,92.25498649396233,96.30347808533996,96.3939769702711,99.7115689235852,90.22778992189087,88.91449461989602,94.20548881730848
1,-10.03337398,-7.29464523,35.25645454,-21.15714903,27.14976648,-2.71245835,-33.26363656,19.23640834,42.43068683,31.91204905,-38.04928418,-30.34249733,-14.47075999,30.19706343,-5.39275847,27.40006687,1.16303851,1.91161121,0.45696166,1.56867715,1.88208463,1.4225813,90.03096806,91.51512163,5.829999999999918,5.479999999999926,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,5.479999999999926,5.829999999999918,5.489999999999918,5.119999999999925,2.8699999999999726,2.8799999999999724,2.619999999999973,2.959999999999972,5.139999999999926,5.4099999999999175,89.19332273400545,90.5749168692747,96.93426062425364,96.58289241031873,99.69134370922637,90.83413972177607,88.91272956076075,95.15112846944396
2,-7.50724271,-6.75282946,32.56814667,-22.62918632,24.92789676,-2.28455201,-23.76095198,19.34147071,41.58747889,32.74560051,-36.82868817,-28.07953761,-12.73395192,26.34139803,-2.06003025,18.90499286,1.16303851,1.91161121,0.45696166,1.56867715,1.88208463,1.4225813,90.03096806,91.51512163,5.75999999999992,5.659999999999922,3.2999999999999723,3.2999999999999723,3.2999999999999723,3.2999999999999723,5.659999999999922,5.75999999999992,5.419999999999919,5.319999999999921,2.829999999999972,2.8799999999999724,2.629999999999973,2.9499999999999726,5.319999999999922,5.309999999999919,89.16588717329263,89.26447101973667,97.89989135399402,96.61259133383004,99.65655094598547,91.6445406162992,89.03346203987138,96.48737284737703
3,-4.98112993,-6.2184758,29.87988286,-24.10120105,22.70603359,-1.85665145,-14.2582674,19.44653308,40.74427713,33.56767194,-35.60811217,-25.81661258,-10.99714898,22.48578465,1.27269797,10.40991884,1.16303851,1.91161121,0.45696166,1.56867715,1.88208463,1.4225813,90.03096806,91.51512163,5.649999999999922,5.829999999999918,3.2999999999999723,3.309999999999972,3.309999999999972,3.2999999999999723,5.829999999999918,5.649999999999922,5.299999999999922,5.479999999999918,2.8399999999999723,2.869999999999972,2.6499999999999724,2.939999999999973,5.449999999999918,5.159999999999922,89.10815994562073,88.93545150306863,97.63948797430574,96.8730653620815,99.63191759027505,92.75770134359257,92.67150789111986,97.53241803168613
4,-2.45503883,-5.69663899,27.19167889,-25.57318891,20.48417767,-1.42875787,-4.75558281,19.55159545,39.9010826,34.37048694,-34.38756333,-23.55372886,-9.2603517,18.63023414,4.60542619,1.91484483,1.16303851,1.91161121,0.45696166,1.56867715,1.88208463,1.4225813,90.03096806,91.51512163,5.509999999999925,5.939999999999916,3.2999999999999723,3.309999999999972,3.309999999999972,3.2999999999999723,5.939999999999916,5.509999999999925,5.169999999999924,5.599999999999916,2.859999999999973,2.8699999999999726,2.6599999999999726,2.9299999999999726,5.489999999999916,4.9999999999999245,88.99151118196122,88.91349936729685,97.2273721218398,97.04345279788494,99.59354537595125,94.05112315249337,96.37243078876934,98.03248632235727
5,0.0710266,-5.19742112,24.50355908,-27.04514441,18.26232978,-1.00087283,4.74710177,19.65665781,39.05789664,35.13850405,-33.1670527,-21.29089488,-7.5235607,14.77476058,7.93815441,-6.58022918,1.16303851,1.91161121,0.45696166,1.56867715,1.88208463,1.4225813,90.03096806,91.51512163,5.359999999999928,5.969999999999915,3.2999999999999723,3.309999999999972,3.309999999999972,3.2999999999999723,5.969999999999915,5.359999999999928,5.019999999999928,5.619999999999916,2.8799999999999732,2.8699999999999726,2.679999999999973,2.8999999999999724,5.499999999999915,4.839999999999927,88.97835301023301,88.9132362096663,96.55915411874423,96.83038003594255,99.51530659383502,95.51635006320737,96.9202536762498,98.31851245441644
6,2.59706133,-4.74205473,21.81556296,-28.51706047,16.04049082,-0.57299839,14.24978635,19.76172018,38.21472092,35.83905825,-31.94659824,-19.02812153,-5.78677667,10.91938256,11.27088262,-15.07530319,1.16303851,1.91161121,0.45696166,1.56867715,1.88208463,1.4225813,90.03096806,91.51512163,5.209999999999932,5.899999999999917,3.2999999999999723,3.309999999999972,3.309999999999972,3.2999999999999723,5.899999999999917,5.209999999999932,4.869999999999931,5.549999999999917,2.909999999999973,2.899999999999973,2.709999999999972,2.869999999999972,5.409999999999916,4.689999999999931,89.0486350555514,88.91236025362764,95.33432831403225,95.71933463985198,99.40593984949622,96.90116704053219,97.68122840198515,98.4315171500276
7,5.12305896,-4.37226143,19.12775934,-29.98892777,13.81866183,-0.14513734,23.75247094,19.86678255,37.3715576,36.40796333,-30.72623118,-16.76542313,-4.05000045,7.06412524,14.60361084,-23.5703772,1.16303851,1.91161121,0.45696166,1.56867715,1.88208463,1.4225813,90.03096806,91.51512163,5.069999999999935,5.74999999999992,3.2999999999999723,3.309999999999972,3.309999999999972,3.2999999999999723,5.74999999999992,5.069999999999935,4.729999999999934,5.40999999999992,2.939999999999973,2.9399999999999724,2.7299999999999724,2.829999999999972,5.22999999999992,4.559999999999935,89.02339281385527,88.91399327154042,93.37379579854253,93.06398163620867,99.27229768853087,97.9376904436907,98.367415953132,98.2559997315737
8,7.64901113,-4.13820683,16.44027938,-31.46073383,11.59684403,0.28270644,33.25515552,19.90739243,36.52840944,36.76804246,-29.50601107,-14.50281889,-2.31323296,3.2090234,17.93633906,-26.85398783,1.16303851,1.91161121,0.45696166,1.56867715,1.88208463,1.4225813,90.03096806,91.51512163,5.029999999999935,5.569999999999924,3.309999999999972,3.309999999999972,3.309999999999972,3.309999999999972,5.569999999999924,5.029999999999935,4.6899999999999356,5.229999999999924,2.9699999999999718,2.9699999999999713,2.749999999999972,2.7799999999999723,5.009999999999923,4.539999999999935,88.93035254266601,88.91458757969957,90.82948098670568,89.75997305731238,99.15561386863415,98.78525371231585,98.8401358554422,98.01876867924041
9,10.1749068,-4.03102586,13.75340728,-32.9324615,9.37503882,0.71052748,42.7578401,26.70651193,35.68528015,36.93293403,-28.28606695,-12.24033516,-0.57647533,-0.6458734,21.26906728,-32.91625519,1.16303851,1.91161121,0.45696166,1.56867715,1.88208463,1.4225813,90.03096806,91.51512163,4.919999999999938,5.379999999999928,3.309999999999972,3.309999999999972,3.309999999999972,3.309999999999972,5.379999999999928,4.919999999999938,4.579999999999938,5.039999999999928,2.979999999999972,2.9799999999999716,2.7599999999999723,2.709999999999973,4.809999999999927,4.449999999999937,88.92302447703128,88.91453010274496,89.24130243285052,88.92313772229701,99.08077984997374,99.4127734483432,98.92437379982216,97.5280200528327
